scientific_name,common_name,city,state,height_M,tree_count,avg_mean
Nyssa sylvatica,,AvondaleEstates,Georgia,,23,0.0
Picea,,South Milwaukee,Wisconsin,,23,0.0
Acer rubrum,,Monroe,Iowa,,23,0.0
Mangifera indica,,Miami,Florida,,23,0.0
Acer,,Monroe,Iowa,,23,0.0
Malus,,Coon Rapids,Iowa,,23,0.0
Fraxinus americana,,Franklin,Wisconsin,,23,0.0
Other,,De Soto,Iowa,,23,0.0
Acer saccharum,,Franklin,Wisconsin,,23,0.0
Picea pungens,,Adair,Iowa,,22,0.0
Other,,Union,Iowa,,22,0.0
Coccoloba diversifolia,,Miami,Florida,,22,0.0
Other,,Guthrie Center,Iowa,,22,0.0
Pinus sylvestris,,Bondurant,Iowa,,22,0.0
Juglans nigra,,Franklin,Wisconsin,,22,0.0
Ravenala madagascariensis,,Miami,Florida,,22,0.0
Acer saccharum,,Sully,Iowa,,22,0.0
Acer saccharinum,,Panora,Iowa,,22,0.0
Acer saccharinum,,Kellogg,Iowa,,22,0.0
Acer saccharum,,West Milwaukee,Wisconsin,,22,0.0
Gleditsia triacanthos,,Greenfield,Wisconsin,,22,0.0
Prunus,,Santa Rosa,California,,22,56.51992545454546
Magnolia virginiana,,Unincorporated,Georgia,,22,0.0
Juniperus chinensis,,Jersey City,New Jersey,,22,0.0
Acer platanoides,,Brown Deer,Wisconsin,,22,0.0
Gleditsia triacanthos,,Windsor Heights,Iowa,,22,0.0
Ulmus,,South Milwaukee,Wisconsin,,22,0.0
Fraxinus americana,,Cudahy,Wisconsin,,22,0.0
Celtis occidentalis,,Mitchellville,Iowa,,22,0.0
Acer platanoides,,Cudahy,Wisconsin,,22,0.0
Quercus falcata,,EastPoint,Georgia,,21,0.0
Acer saccharinum,,Granger,Iowa,,21,0.0
Picea,,Bondurant,Iowa,,21,0.0
Quercus bicolor,,Bondurant,Iowa,,21,0.0
Celtis occidentalis,,Hales Corners,Wisconsin,,21,0.0
Other,,Santa Rosa,California,,21,643.5133314285714
Acer platanoides,,Panora,Iowa,,21,0.0
Acer saccharinum,,Sully,Iowa,,21,0.0
Acer nigrum,,Union,Iowa,,21,0.0
Quercus macrocarpa,,Carlisle,Iowa,,21,0.0
Pyrus,,Polk City,Iowa,,21,0.0
Acer platanoides,,Mitchellville,Iowa,,20,0.0
Picea pungens,,Monroe,Iowa,,20,0.0
Acer saccharum,,Bondurant,Iowa,,20,0.0
Acer platanoides,,Guthrie Center,Iowa,,20,0.0
Malus tschonoskii,,Hales Corners,Wisconsin,,20,0.0
Fraxinus pennsylvanica,,Sully,Iowa,,20,0.0
Malus,,Redfield,Iowa,,20,0.0
Acer saccharum,,Milo,Iowa,,19,0.0
Aesculus hippocastanum,,Fox Point,Wisconsin,,19,0.0
Acer platanoides,,Union,Iowa,,19,0.0
Ulmus americana,,EastPoint,Georgia,,19,0.0
Nyssa sylvatica,,EastPoint,Georgia,,19,0.0
Acer saccharinum,,Dexter,Iowa,,19,0.0
Fraxinus pennsylvanica,,South Milwaukee,Wisconsin,,19,0.0
Fraxinus velutina,,Phoenix,Arizona,,19,10.646315789473684
Fraxinus pennsylvanica,,Fox Point,Wisconsin,,19,0.0
Crataegus,,West Milwaukee,Wisconsin,,19,0.0
Acer platanoides,,South Milwaukee,Wisconsin,,19,0.0
Acer ginnala,,Milo,Iowa,,19,0.0
Quercus nuttallii,,Hapeville,Georgia,,19,0.0
Gleditsia triacanthos,,Coon Rapids,Iowa,,19,0.0
Prunus incam,,Brookhaven,Georgia,,19,0.0
Malus tschonoskii,,South Milwaukee,Wisconsin,,19,0.0
Celtis occidentalis,,Dallas Center,Iowa,,18,0.0
Acer saccharum,,Carlisle,Iowa,,18,0.0
Quercus rubra,,Cudahy,Wisconsin,,18,0.0
Crataegus,,Greenfield,Wisconsin,,18,0.0
Malus tschonoskii,,Greenfield,Wisconsin,,18,0.0
Acer saccharum,,Mitchellville,Iowa,,18,0.0
Malus,,Monroe,Iowa,,18,0.0
Malus tschonoskii,,Brown Deer,Wisconsin,,18,0.0
Pinus resinosa,,Franklin,Wisconsin,,18,0.0
Acer platanoides,,Milo,Iowa,,18,0.0
Celtis occidentalis,,Greenfield,Wisconsin,,18,0.0
Fraxinus,,Prairie City,Iowa,,18,0.0
Quercus rubra,,Earlham,Iowa,,18,0.0
Acer saccharinum,,Baxter,Iowa,,18,0.0
Gleditsia triacanthos,,Stuart,Iowa,,18,0.0
Quercus palustris,,Stuart,Iowa,,18,0.0
Celtis occidentalis,,Bouton,Iowa,,18,0.0
Syringa,,Windsor Heights,Iowa,,17,0.0
Celtis occidentalis,,Guthrie Center,Iowa,,17,0.0
Acer saccharinum,,Redfield,Iowa,,17,0.0
Quercus rubra,,Hales Corners,Wisconsin,,17,0.0
Fraxinus pennsylvanica,,Elkhart,Iowa,,17,0.0
Pyrus,,Bondurant,Iowa,,17,0.0
Celtis occidentalis,,Santa Rosa,California,,17,72.17848
Fraxinus nigra,,Brown Deer,Wisconsin,,17,0.0
Taxodium distichum,,Hapeville,Georgia,,17,0.0
Other,,Shorewood,Wisconsin,,17,0.0
Tilia americana,,Greenfield,Wisconsin,,17,0.0
Amelanchier canadensis,,Jersey City,New Jersey,,17,0.0
Pinus resinosa,,Greendale,Wisconsin,,17,0.0
Acer saccharum,,Windsor Heights,Iowa,,17,0.0
Pinus strobus,,Windsor Heights,Iowa,,17,0.0
Quercus rubra,,Monroe,Iowa,,17,0.0
Juniperus virginiana,,Marietta,Georgia,,17,0.0
Fraxinus pennsylvanica,,Monroe,Iowa,,17,0.0
Crataegus,,Hales Corners,Wisconsin,,16,0.0
Fraxinus pennsylvanica,,Kellogg,Iowa,,16,0.0
Fraxinus americana,,Earlham,Iowa,,16,0.0
Syagrus romanzoffiana,,Phoenix,Arizona,,16,5.71875
Quercus macrocarpa,,Elkhart,Iowa,,16,0.0
Fraxinus americana,,Hales Corners,Wisconsin,,16,0.0
Malus,,Panora,Iowa,,16,0.0
Picea,,Coon Rapids,Iowa,,16,0.0
Acer saccharum,,Adair,Iowa,,16,0.0
Ulmus pumila,,Adel,Iowa,,16,0.0
Malus,,Adair,Iowa,,16,0.0
Juglans nigra,,Adair,Iowa,,16,0.0
Crataegus,,Shorewood,Wisconsin,,16,0.0
Gleditsia triacanthos,,West Milwaukee,Wisconsin,,16,0.0
Pinus sylvestris,,Greendale,Wisconsin,,16,0.0
Acer buergerianum,,Chamblee,Georgia,,16,0.0
Acer saccharinum,,Windsor Heights,Iowa,,16,0.0
Quercus shumardii,,Hapeville,Georgia,,16,0.0
Juglans nigra,,Coon Rapids,Iowa,,16,0.0
Acer platanoides,,Prairie City,Iowa,,16,0.0
Fraxinus pennsylvanica,,Redfield,Iowa,,15,0.0
Cercis canadensis,,Doraville,Georgia,,15,0.0
Gleditsia triacanthos,,Woodward,Iowa,,15,0.0
Acer saccharinum,,Union,Iowa,,15,0.0
Malus,,Granger,Iowa,,15,0.0
Other,,Kellogg,Iowa,,15,0.0
Acer rubrum,,Bondurant,Iowa,,15,0.0
Cornus florida,,Unincorporated,Georgia,,15,0.0
Tilia americana,,Carlisle,Iowa,,15,0.0
Acer buergerianum,,AvondaleEstates,Georgia,,15,0.0
Picea,,Sully,Iowa,,15,0.0
Celtis occidentalis,,Prairie City,Iowa,,15,0.0
Acer rubrum,,Panora,Iowa,,14,0.0
Acer freemanii,,Marietta,Georgia,,14,0.0
Juglans nigra,,Shorewood,Wisconsin,,14,0.0
Acer rubrum,,Prairie City,Iowa,,14,0.0
Cercis canadensis,,Hapeville,Georgia,,14,0.0
Cornus florida,,SandySprings,Georgia,,14,0.0
Amelanchier arborea,,AvondaleEstates,Georgia,,14,0.0
Ulmus pumila,,Milo,Iowa,,14,0.0
Cercis canadensis,,Windsor Heights,Iowa,,14,0.0
Betula nigra,,Milo,Iowa,,14,0.0
Quercus pagoda,,AvondaleEstates,Georgia,,14,0.0
Cercidium floridum,,Phoenix,Arizona,,14,6.17076923076923
Tilia cordata,,Adel,Iowa,,14,0.0
Acer,,Adair,Iowa,,14,0.0
Quercus bicolor,,Adel,Iowa,,14,0.0
Malus tschonoskii,,Greendale,Wisconsin,,14,0.0
Tilia americana,,Greendale,Wisconsin,,14,0.0
Populus tremuloides,,Bouton,Iowa,,14,0.0
Quercus lyrata,,Chamblee,Georgia,,14,0.0
Fraxinus pennsylvanica,,Bayard,Iowa,,13,0.0
Acer,,Redfield,Iowa,,13,0.0
Acer rubrum,,Stuart,Iowa,,13,0.0
Juniperus virginiana,,Baxter,Iowa,,13,0.0
Juniperus virginiana,,West Milwaukee,Wisconsin,,13,0.0
Magnolia virginiana,,Marietta,Georgia,,13,0.0
Fraxinus,,Union,Iowa,,13,0.0
Quercus lyrata,,AvondaleEstates,Georgia,,13,0.0
Styrax japonicus,,AvondaleEstates,Georgia,,13,0.0
Gleditsia triacanthos,,Colfax,Iowa,,13,0.0
Gleditsia triacanthos,,Oak Creek,Wisconsin,,13,0.0
Quercus alba,,Hapeville,Georgia,,13,0.0
Ulmus americana,,AvondaleEstates,Georgia,,13,0.0
Fraxinus pennsylvanica,,Franklin,Wisconsin,,13,0.0
Acer platanoides,,Granger,Iowa,,12,0.0
Fraxinus pennsylvanica,,Runnells,Iowa,,12,0.0
Acer rubrum,,Mitchellville,Iowa,,12,0.0
Ulmus pumila,,Colfax,Iowa,,12,0.0
Celtis occidentalis,,Colfax,Iowa,,12,0.0
Fraxinus,,Phoenix,Arizona,,12,12.410833333333334
Acer negundo,,De Soto,Iowa,,12,0.0
Ulmus pumila,,De Soto,Iowa,,12,0.0
Rhus copallina,,SandySprings,Georgia,,12,0.0
Pinus taeda,,SandySprings,Georgia,,12,0.0
Fraxinus pennsylvanica,,Polk City,Iowa,,12,0.0
Acer saccharum,,AvondaleEstates,Georgia,,12,0.0
Acer saccharinum,,Bayard,Iowa,,12,0.0
Quercus rubra,,Greendale,Wisconsin,,12,0.0
Quercus ellipsoidalis,,Milo,Iowa,,12,0.0
Lagerstroemia,,Chamblee,Georgia,,12,0.0
Quercus nuttallii,,CollegePark,Georgia,,12,0.0
Malus,,Elkhart,Iowa,,12,0.0
Tilia cordata,,Woodward,Iowa,,12,0.0
Acer saccharum,,Greendale,Wisconsin,,12,0.0
Acer saccharinum,,Runnells,Iowa,,11,0.0
Cercis canadensis,,SandySprings,Georgia,,11,0.0
Malus,,Colfax,Iowa,,11,0.0
Acer saccharum,,Van Meter,Iowa,,11,0.0
Tilia americana,,Franklin,Wisconsin,,11,0.0
Quercus rubra,,Fox Point,Wisconsin,,11,0.0
Citrus paradisi,,Phoenix,Arizona,,11,5.378181818181818
Quercus alba,,Brookhaven,Georgia,,11,0.0
Pinus resinosa,,Fox Point,Wisconsin,,11,0.0
Quercus alba,,Doraville,Georgia,,11,0.0
Malus tschonoskii,,Shorewood,Wisconsin,,11,0.0
Gleditsia triacanthos,,Sully,Iowa,,11,0.0
Acer saccharum,,Bayard,Iowa,,11,0.0
Picea pungens,,Baxter,Iowa,,11,0.0
Syringa,,Adair,Iowa,,11,0.0
Juglans nigra,,Stuart,Iowa,,11,0.0
Syringa reticulata,,Cudahy,Wisconsin,,11,0.0
Malus,,Prairie City,Iowa,,11,0.0
Quercus palustris,,Guthrie Center,Iowa,,11,0.0
Acer platanoides,,Dexter,Iowa,,11,0.0
Quercus rubra,,Granger,Iowa,,11,0.0
Fraxinus pennsylvanica,,Dexter,Iowa,,11,0.0
Tilia americana,,Stuart,Iowa,,10,0.0
Acer,,Elkhart,Iowa,,10,0.0
Gleditsia triacanthos,,Whitefish Bay,Wisconsin,,10,0.0
Robinia pseudoacacia,,Whitefish Bay,Wisconsin,,10,0.0
Fraxinus americana,,Fox Point,Wisconsin,,10,0.0
Picea glauca,,Fox Point,Wisconsin,,10,0.0
Acer saccharum,,CollegePark,Georgia,,10,0.0
Other,,Chamblee,Georgia,,10,0.0
Pyrus,,Prairie City,Iowa,,10,0.0
Other,,Runnells,Iowa,,10,0.0
Acer,,Dexter,Iowa,,10,0.0
Prunus,,SandySprings,Georgia,,10,0.0
Nyssa sylvatica,,Marietta,Georgia,,10,0.0
Fraxinus americana,,Sully,Iowa,,10,0.0
Quercus rubra,,Baxter,Iowa,,10,0.0
Syringa,,Baxter,Iowa,,10,0.0
Acer rubrum,,Chamblee,Georgia,,10,0.0
Celtis occidentalis,,Redfield,Iowa,,10,0.0
Quercus macrocarpa,,Greendale,Wisconsin,,10,0.0
Ilex opaca,,SandySprings,Georgia,,10,0.0
Morus alba,,Phoenix,Arizona,,10,24.220000000000002
Asimina triloba,,SandySprings,Georgia,,10,0.0
Carya glabra,,SandySprings,Georgia,,10,0.0
Juglans nigra,,Mitchellville,Iowa,,10,0.0
Crataegus,,Greendale,Wisconsin,,10,0.0
Quercus macrocarpa,,Milo,Iowa,,10,0.0
Gleditsia triacanthos,,Dexter,Iowa,,9,0.0
Quercus bicolor,,Granger,Iowa,,9,0.0
Liriodendron tulipifera,,Chamblee,Georgia,,9,0.0
Quercus alba,,Oak Creek,Wisconsin,,9,0.0
Cedrus,,Santa Rosa,California,,9,119.93292888888888
Magnolia,,Hapeville,Georgia,,9,0.0
Tilia americana,,Adair,Iowa,,9,0.0
Ulmus pumila,,Redfield,Iowa,,9,0.0
Magnolia grandiflora,,Hapeville,Georgia,,9,0.0
Acer saccharum,,Oak Creek,Wisconsin,,9,0.0
Acer rubrum,,Polk City,Iowa,,9,0.0
Pinus halepensis,,Phoenix,Arizona,,9,15.866666666666667
Acer platanoides,,Bayard,Iowa,,9,0.0
Betula nigra,,SandySprings,Georgia,,9,0.0
Acer platanoides,,Shorewood,Wisconsin,,9,0.0
Magnolia,,Doraville,Georgia,,9,0.0
Other,,Whitefish Bay,Wisconsin,,9,0.0
Tilia americana,,Fox Point,Wisconsin,,9,0.0
Fraxinus pennsylvanica,,De Soto,Iowa,,9,0.0
Quercus rubra,,West Milwaukee,Wisconsin,,9,0.0
Acer rubrum,,Dexter,Iowa,,8,0.0
Pinus resinosa,,Oak Creek,Wisconsin,,8,0.0
Ficus microcarpa,,Phoenix,Arizona,,8,4.53
Syringa reticulata,,Oak Creek,Wisconsin,,8,0.0
Juglans nigra,,West Milwaukee,Wisconsin,,8,0.0
Acer saccharum,,Kellogg,Iowa,,8,0.0
Quercus rubra,,CandlerMcAfee,Georgia,,8,0.0
Juglans nigra,,Guthrie Center,Iowa,,8,0.0
Cercis canadensis,,Brookhaven,Georgia,,8,0.0
Platanus occidentalis,,Van Meter,Iowa,,8,0.0
Malus,,Stuart,Iowa,,8,0.0
Quercus nuttallii,,Brookhaven,Georgia,,8,0.0
Other,,West Milwaukee,Wisconsin,,8,0.0
Magnolia,,CollegePark,Georgia,,8,0.0
Acer rubrum,,Baxter,Iowa,,8,0.0
Quercus falcata,,Doraville,Georgia,,8,0.0
Acer saccharum,,Shorewood,Wisconsin,,8,0.0
Picea,,Kellogg,Iowa,,8,0.0
Celtis occidentalis,,Oak Creek,Wisconsin,,8,0.0
Acer ginnala,,Franklin,Wisconsin,,8,0.0
Picea abies,,Woodward,Iowa,,8,0.0
Acer nigrum,,Redfield,Iowa,,8,0.0
Tilia,,Whitefish Bay,Wisconsin,,8,0.0
Other,,Elkhart,Iowa,,8,0.0
Malus,,Mitchellville,Iowa,,8,0.0
Taxodium distichum,,Marietta,Georgia,,7,0.0
Quercus virginiana,,Marietta,Georgia,,7,0.0
Quercus bicolor,,Redfield,Iowa,,7,0.0
Gleditsia triacanthos,,Redfield,Iowa,,7,0.0
Tilia cordata,,Guthrie Center,Iowa,,7,0.0
Chionanthus retusus,,CollegePark,Georgia,,7,0.0
Acer saccharum,,Elkhart,Iowa,,7,0.0
Acer platanoides,,Sully,Iowa,,7,0.0
Tilia cordata,,Sully,Iowa,,7,0.0
Juglans nigra,,Union,Iowa,,7,0.0
Acer rubrum,,CollegePark,Georgia,,7,0.0
Picea,,Elkhart,Iowa,,7,0.0
Pyrus,,Granger,Iowa,,7,0.0
Celtis occidentalis,,Granger,Iowa,,7,0.0
Acer saccharinum,,Fox Point,Wisconsin,,7,0.0
Picea,,Fox Point,Wisconsin,,7,0.0
Lagerstroemia L.,,Doraville,Georgia,,7,0.0
Citrus aurantium,,Phoenix,Arizona,,7,4.947142857142857
Malus,,Union,Iowa,,7,0.0
Thuja occidentalis,,Baxter,Iowa,,7,0.0
Gymnocladus dioicus,,Shorewood,Wisconsin,,7,0.0
Juglans nigra,,Colfax,Iowa,,7,0.0
Acer platanoides,,Oak Creek,Wisconsin,,7,0.0
Fraxinus pennsylvanica,,Oak Creek,Wisconsin,,7,0.0
Quercus rubra,,Whitefish Bay,Wisconsin,,7,0.0
Quercus palustris,,Van Meter,Iowa,,6,0.0
Quercus bicolor,,Polk City,Iowa,,6,0.0
Ginkgo biloba,,Marietta,Georgia,,6,0.0
Quercus nuttallii,,CandlerMcAfee,Georgia,,6,0.0
Acer rubrum,,Sully,Iowa,,6,0.0
Quercus palustris,,Sully,Iowa,,6,0.0
Juglans nigra,,Panora,Iowa,,6,0.0
Platanus occidentalis,,Panora,Iowa,,6,0.0
Picea,,Union,Iowa,,6,0.0
Gleditsia triacanthos,,Bouton,Iowa,,6,0.0
Betula,,Granger,Iowa,,6,0.0
Acer rubrum,,Granger,Iowa,,6,0.0
Citrus sinensis,,Phoenix,Arizona,,6,79.05166666666666
Acer saccharinum,,Van Meter,Iowa,,6,0.0
Ulmus pumila,,Van Meter,Iowa,,6,0.0
Acer platanoides,,Colfax,Iowa,,6,0.0
Fraxinus,,Mitchellville,Iowa,,6,0.0
Taxodium distichum,,CollegePark,Georgia,,6,0.0
Acer buergerianum,,Doraville,Georgia,,6,0.0
Quercus rubra,,Mitchellville,Iowa,,6,0.0
Malus,,Guthrie Center,Iowa,,6,0.0
Acer rubrum,,Redfield,Iowa,,6,0.0
Acer saccharinum,,De Soto,Iowa,,6,0.0
Acer,,Runnells,Iowa,,6,0.0
Acer rubrum,,Runnells,Iowa,,6,0.0
Picea,,Runnells,Iowa,,6,0.0
Celtis occidentalis,,Dexter,Iowa,,6,0.0
Acer platanoides,,West Milwaukee,Wisconsin,,5,0.0
Acer platanoides,,Bouton,Iowa,,5,0.0
Gleditsia triacanthos,,Kellogg,Iowa,,5,0.0
Picea abies,,Baxter,Iowa,,5,0.0
Tilia americana,,Panora,Iowa,,5,0.0
Quercus phellos,,CollegePark,Georgia,,5,0.0
Acer rubrum,,Brookhaven,Georgia,,5,0.0
Ginkgo biloba,,Chamblee,Georgia,,5,0.0
Other,,Hartford,Iowa,,5,0.0
Nyssa sylvatica,,Brookhaven,Georgia,,5,0.0
Acer saccharum,,De Soto,Iowa,,5,0.0
Platanus occidentalis,,De Soto,Iowa,,5,0.0
Amelanchier arborea,,Brookhaven,Georgia,,5,0.0
Cornus amomum,,Brookhaven,Georgia,,5,0.0
Carpinus caroliniana,,CollegePark,Georgia,,5,0.0
Fraxinus pennsylvanica,,Whitefish Bay,Wisconsin,,5,0.0
Fraxinus,,Whitefish Bay,Wisconsin,,5,0.0
Ulmus americana,,CollegePark,Georgia,,5,0.0
Liriodendron tulipifera,,Brookhaven,Georgia,,5,0.0
Fraxinus,,De Soto,Iowa,,5,0.0
Fraxinus pennsylvanica,,Baxter,Iowa,,5,0.0
Celtis occidentalis,,Kellogg,Iowa,,4,0.0
Celtis occidentalis,,West Milwaukee,Wisconsin,,4,0.0
Fraxinus,,West Milwaukee,Wisconsin,,4,0.0
Nyssa sylvatica,,Chamblee,Georgia,,4,0.0
Acer platanoides,,Elkhart,Iowa,,4,0.0
Populus deltoides,,De Soto,Iowa,,4,0.0
Cercis canadensis,,CollegePark,Georgia,,4,0.0
Tilia americana,,CandlerMcAfee,Georgia,,4,0.0
Tilia americana,,Whitefish Bay,Wisconsin,,4,0.0
Malus tschonoskii,,Whitefish Bay,Wisconsin,,4,0.0
Fraxinus americana,,Panora,Iowa,,4,0.0
Acer saccharinum,,Hartford,Iowa,,4,0.0
Acer nigrum,,Bouton,Iowa,,4,0.0
Fraxinus americana,,Bouton,Iowa,,4,0.0
Celtis occidentalis,,Bayard,Iowa,,4,0.0
Lagerstroemia indica,,Doraville,Georgia,,4,0.0
Malus,,De Soto,Iowa,,4,0.0
Acer platanoides,,Polk City,Iowa,,4,0.0
Celtis occidentalis,,Union,Iowa,,4,0.0
Acer rubrum,,Union,Iowa,,4,0.0
Magnolia stellata,,Brookhaven,Georgia,,4,0.0
Quercus rubra,,Guthrie Center,Iowa,,4,0.0
Celtis occidentalis,,Hartford,Iowa,,4,0.0
Quercus alba,,Shorewood,Wisconsin,,3,0.0
Quercus bicolor,,Runnells,Iowa,,3,0.0
Malus,,Runnells,Iowa,,3,0.0
Juglans nigra,,Bayard,Iowa,,3,0.0
Fraxinus americana,,Whitefish Bay,Wisconsin,,3,0.0
Quercus rubra,,Shorewood,Wisconsin,,3,0.0
Celtis occidentalis,,Elkhart,Iowa,,3,0.0
Pinus strobus,,Elkhart,Iowa,,3,0.0
Fraxinus pennsylvanica,,Shorewood,Wisconsin,,3,0.0
Other,,Doraville,Georgia,,3,0.0
Ulmus americana,,Doraville,Georgia,,3,0.0
Gleditsia triacanthos,,Bayard,Iowa,,3,0.0
Lagerstroemia,,Marietta,Georgia,,3,0.0
Tilia americana,,Bayard,Iowa,,3,0.0
Taxodium distichum,,Doraville,Georgia,,3,0.0
Juglans nigra,,Bouton,Iowa,,3,0.0
Fraxinus americana,,Shorewood,Wisconsin,,3,0.0
Ulmus pumila,,Kellogg,Iowa,,3,0.0
Fraxinus americana,,Polk City,Iowa,,3,0.0
Acer saccharum,,Polk City,Iowa,,3,0.0
Quercus nuttallii,,Chamblee,Georgia,,3,0.0
Quercus alba,,Chamblee,Georgia,,3,0.0
Acer platanoides,,Van Meter,Iowa,,3,0.0
Fraxinus pennsylvanica,,Van Meter,Iowa,,3,0.0
Malus,,Van Meter,Iowa,,3,0.0
Juniperus virginiana,,Kellogg,Iowa,,3,0.0
Cercis canadensis,,Marietta,Georgia,,3,0.0
Morus,,Bouton,Iowa,,3,0.0
Cercis canadensis,,West Milwaukee,Wisconsin,,2,0.0
Other,,Bayard,Iowa,,2,0.0
Acer platanoides,,Whitefish Bay,Wisconsin,,2,0.0
Ulmus pumila,,Bayard,Iowa,,2,0.0
Acer platanoides,,Runnells,Iowa,,2,0.0
Quercus palustris,,Runnells,Iowa,,2,0.0
Thuja occidentalis,,Runnells,Iowa,,2,0.0
Acer platanoides,,Hartford,Iowa,,2,0.0
Juglans nigra,,Hartford,Iowa,,2,0.0
Morus,,Hartford,Iowa,,2,0.0
Platanus occidentalis,,Bayard,Iowa,,2,0.0
Other,,Polk City,Iowa,,2,0.0
Quercus macrocarpa,,Polk City,Iowa,,2,0.0
Picea pungens,,Hartford,Iowa,,2,0.0
Acer,,Van Meter,Iowa,,2,0.0
Acer platanoides,,Kellogg,Iowa,,2,0.0
Ulmus pumila,,Hartford,Iowa,,2,0.0
Quercus macrocarpa,,Hartford,Iowa,,2,0.0
Other,,CandlerMcAfee,Georgia,,2,0.0
Cercis canadensis,,CandlerMcAfee,Georgia,,2,0.0
Gleditsia triacanthos,,Van Meter,Iowa,,1,0.0
Acer ginnala,,Hartford,Iowa,,1,0.0
Amelanchier grandiflora,,CandlerMcAfee,Georgia,,1,0.0
Quercus lyrata,,CandlerMcAfee,Georgia,,1,0.0
Other,,Van Meter,Iowa,,1,0.0
Juglans nigra,,Polk City,Iowa,,1,0.0
Magnolia,,Marietta,Georgia,,1,0.0
Liriodendron tulipifera,,CandlerMcAfee,Georgia,,1,0.0
Nyssa sylvatica,,CandlerMcAfee,Georgia,,1,0.0
Quercus falcata,,CandlerMcAfee,Georgia,,1,0.0
Quercus alba,,CandlerMcAfee,Georgia,,1,0.0
Acer rubrum,,Hartford,Iowa,,1,0.0
Other,,Marietta,Georgia,,1,0.0
